,City/Town,Name of Property,Use**,Prior Rounds Applications,Proponent Name,Remaining Credit to Award,Total Awards,20% QRE,Qualified Rehab. $,Total Project Cost,HRC #,Entity,Part 2 Qualified Rehab. $,Part 2 Total Project Cost,Count_prior_rounds_applied
2431,Lawrence,"Wood Worsted Mill Building C (formerly Office Building), 200 Merrimack Street",R,"13    4, 15, 16,17, 18, 19, 20,21, 22, 23, 24,25, 26, 27, 36,37, 38, 39, 40,41, 42",Salvatore Lupoli,574607.6,3000000,3574607.6,17873038,22481348,117,200 Riverwalk LLC,,,21
805,Lowell,Hamilton Canal Lofts (Phase 2 of 2),"R, C","6,7,8,9,10,11,12,13,14,15, 16,17, 18, 19, 20,21, 22, 23, 24,25, 26",Sean McDonnell,585826.4,12800000,7485826.4,37429132,45006500,54,"HCL Acquisition LLC, subsidiary of Architectural Heritage Foundation",,,21
1234,Waltham,Waltham Watch Company Phased (Phases 10-11 of 12),"R, C","11, 12, 13, 14,15, 16, 17, 18,19, 20, 21, 22,23, 24, 25, 26,27, 28, 29, 30",Ian McGill,4259000,4700000,22729452.8,113647264,132824000,96,"Watch City Ventures LLC, c/o Berkeley Investments, Inc.",,,20
1350,Boston / Charlestown,"Terminal Storage Company, 267 Medford Street",R,"12,13, 15, 16,17, 18, 19, 21,22, 23, 24, 25,26, 27, 28, 29,30, 31, 32",Michael Rauseo,1740000,6700000,5640000,28200000,37200000,103,Suffolk Medford LLC,,,19
1926,Fitchburg,"Fitchburg Yarn Mill, 1428 Main Street",R,"21, 22, 23, 24,25, 26, 27, 28,29, 30, 31, 32,33, 34, 35, 36,37, 38",Lawrence Curtis,755994.8,4900000,5655994.8,28279974,37440936,275,Fitchburg Yarn Limited Partnership,,,18
1639,Clinton,"Lancaster Mills, 1-55 Green Street Phase 2","R, C","18, 19, 20, 21,22, 23, 24, 25,26, 27, 28, 29,30, 31, 32, 33,34, 35",Chris Starr,1030665.4,1100000,2130665.4,10653327,11585000,101,Clinton Millworks II LLC c/o Starr Development Partners,,,18
1922,Dudley,Stevens Linen Mill,R,"14, 16, 21, 22,23, 24, 25, 26,28, 29, 30, 31,32, 33, 34, 35,37",George S. Peterson,198599,6000000,6198599,30992995,39621026,142,Stevens Mills LLC,,,17
1423,Webster,Sitkowski School  29 Negus St,R,"17, 18, 19, 20,21, 22, 23, 24,25, 26, 27, 28,29, 30, 31, 32",Philip R  Giffee,682496.2,3800000,2882496.2,14412481,19586182,200,Sitkowski School LLC,,,16
1930,Holyoke,"Victory Theatre, 81-89 Suffolk Street",E,"17, 18, 19, 20,21, 22, 23, 24,25, 26, 27, 28,29, 30, 31, 38",Donald T. Sanders,293078,4300000,4593078,22965390,28840765,192,Massachusetts International Festival of the Arts - MIFA,,,16
1941,Ludlow,"Ludlow Manufacturing Company Mill #10, 40 State Street",R,"24, 25, 26, 27,28, 29, 30, 31,32, 33, 34, 35,36, 37, 38",Lawrence Curtis,940531.6,3550000,4490531.6,22452658,27795287,343,Ludlow Mill Housing Limited Partnership,,,15
2316,Lawrence,"Wood Worsted Mill Building F, 280 Merrimack Street",C,"27, 28, 29, 30,31, 32, 33, 34,35, 36, 37, 38,39, 40, 41",Salvatore Lupoli,5493282,5000000,10493282,52466410,63324227,412,280 Riverwalk LLC,,,15
